"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022604","GO:0022604","regulation of cell morphogenesis","17/459","248/18986",0.0685483870967742,2.83542413381123,4.57941237872316,0.00011964763823408,0.0432906909246943,0.0410007839728459,"CNTN2/PLXNA2/DBN1/RIMS2/ZRANB1/ARHGEF7/CXCR4/MAP3K13/RAB21/PLXNA3/EPHB2/SEMA4D/TAOK2/DLG4/ZMYM6/TPM1/EFNA5",17
"GO:0030100","GO:0030100","regulation of endocytosis","19/459","307/18986",0.0618892508143322,2.55997672322639,4.33730125236845,0.000185700628512094,0.057575503931479,0.0545299866645402,"BMP2K/RAB4B/SNX9/LRSAM1/NRG1/ARRB1/CSK/DGKD/RAB21/CD47/SUSD4/ITGAV/ARPC3/DLG4/CDC42/SYNE1/PICALM/ANKFY1/SNCA",19
"GO:0048813","GO:0048813","dendrite morphogenesis","12/459","143/18986",0.0839160839160839,3.47109100050277,4.66864472780854,0.000188060691233474,0.057575503931479,0.0545299866645402,"DBN1/CDK5/ELAVL4/RAB21/EPHB2/SEMA4D/TAOK2/DLG4/CDC42/SYNE1/PICALM/TET1",12
"GO:0050807","GO:0050807","regulation of synapse organization","19/459","312/18986",0.0608974358974359,2.51895145522597,4.25805833383333,0.000228137082665957,0.0618657295356275,0.0585932762409633,"MEF2C/DBN1/CDK5/FGF7/DLGAP4/UBE2M/ROR2/PRNP/LRFN1/FZD1/EPHB2/SEMA4D/GRIPAP1/CDC42/ZMYND8/PUM2/YWHAZ/EFNA5/SNCA",19
"GO:0031503","GO:0031503","protein-containing complex localization","15/459","214/18986",0.0700934579439252,2.89933418850406,4.39806954464947,0.000233162297244827,0.0618657295356275,0.0585932762409633,"IFT22/RALB/DBN1/GABARAP/NRG1/OLFM1/TTC21B/SUSD4/DYNLL1/GRIPAP1/LMNB1/DLG4/EXOC3L1/SSX2IP/SYNE1",15
"GO:0031115","GO:0031115","negative regulation of microtubule polymerization","4/459","14/18986",0.285714285714286,11.8182384064737,6.37342824311939,0.000278359089459834,0.0673679374495914,0.0638044390391396,"ARHGEF7/INPP5J/TUBB4A/SNCA",4
"GO:0048169","GO:0048169","regulation of long-term neuronal synaptic plasticity","5/459","25/18986",0.2,8.27276688453159,5.72727643222275,0.000287752496643983,0.0673679374495914,0.0638044390391396,"KRAS/SYNGR1/EPHB2/DLG4/SNCA",5
"GO:0034504","GO:0034504","protein localization to nucleus","19/459","321/18986",0.059190031152648,2.4483266480701,4.11921189806176,0.000326214675816634,0.0721296894305669,0.0683143131052261,"IPO8/CDK5/TCF7L2/TMEM147/MFHAS1/MAGED1/NGFR/CNEP1R1/CIZ1/LMNB1/TNPO2/ORMDL3/YWHAE/SYNE1/TRIM28/RAP1GDS1/YWHAZ/CCT7/LIMK2",19
"GO:0016082","GO:0016082","synaptic vesicle priming","5/459","26/18986",0.192307692307692,7.95458354281884,5.58531573700346,0.000349243409240827,0.0731573036199206,0.0692875705535403,"RIMS2/SV2A/BRSK1/ERC2/SNCA",5
"GO:0030901","GO:0030901","midbrain development","9/459","92/18986",0.0978260869565217,4.0464620630861,4.61038108962766,0.000384167191701315,0.0732435717080591,0.0693692753997777,"UCHL5/EN1/FZD1/DYNLL1/HSPA5/UQCRQ/CDC42/YWHAE/WLS",9
"GO:0009416","GO:0009416","response to light stimulus","19/459","326/18986",0.058282208588957,2.41077562586043,4.0440826311757,0.000395195312209444,0.0732435717080591,0.0693692753997777,"DDHD2/RIC8A/KRAS/CDK5/PTPRK/MFAP4/CCDC66/ABCC8/TIMP1/RHBDD1/BRSK1/CEP250/RHNO1/BRAF/CRTC1/SYNE1/ID2/PCNA/FBXL17",19
"GO:0006898","GO:0006898","receptor-mediated endocytosis","17/459","275/18986",0.0618181818181818,2.55703703703704,4.09379304161649,0.000404863964215402,0.0732435717080591,0.0693692753997777,"CNTN2/BMP2K/RAMP2/RALB/SNX9/NRG1/ARRB1/DGKD/RAB21/SUSD4/ITGAV/ITCH/DLG4/SYNE1/PICALM/MICALL1/SNCA",17
"GO:0045185","GO:0045185","maintenance of protein location","9/459","95/18986",0.0947368421052632,3.9186790505676,4.48879490000047,0.000487581650678954,0.0827285013456064,0.0783524896372961,"GSN/DBN1/CDK5/TMSB4X/CIZ1/HSPA5/NBL1/YWHAE/SYNE1",9
"GO:0007612","GO:0007612","learning","12/459","159/18986",0.0754716981132075,3.12179882435154,4.22884043145515,0.000498865334747375,0.0827285013456064,0.0783524896372961,"CNTN2/DDHD2/RIC8A/KRAS/CDK5/ELAVL4/EN1/ABCC8/EPHB2/BRSK1/DLG4/BRAF",12
"GO:0048588","GO:0048588","developmental cell growth","15/459","232/18986",0.0646551724137931,2.67438584629254,4.03888672969809,0.000549666197698379,0.084468616647557,0.080000559697144,"SPAG6/CDK5/RIMS2/CXCR4/MAP3K13/DDR1/OLFM1/RAB21/PLXNA3/SEMA4D/LHX2/NDN/PUM2/EFNA5/TTL",15
"GO:0031111","GO:0031111","negative regulation of microtubule polymerization or depolymerization","6/459","43/18986",0.13953488372093,5.77169782641739,4.93051034716842,0.000551805033376,0.084468616647557,0.080000559697144,"ARHGEF7/INPP5J/TAOK1/TUBB4A/ATXN7/SNCA",6
"GO:1903421","GO:1903421","regulation of synaptic vesicle recycling","5/459","29/18986",0.172413793103448,7.13169559011344,5.2012038182248,0.000593994837546245,0.0875592390160761,0.0829277003217584,"SNX9/CDK5/ARPC3/GRIPAP1/SNCA",5
"GO:0031623","GO:0031623","receptor internalization","11/459","141/18986",0.0780141843971631,3.22696580602296,4.17766995593205,0.000642054617887461,0.0905776582424915,0.0857864570659514,"CNTN2/RAMP2/RALB/NRG1/ARRB1/SUSD4/ITCH/DLG4/SYNE1/PICALM/SNCA",11
"GO:0061387","GO:0061387","regulation of extent of cell growth","9/459","99/18986",0.0909090909090909,3.760348583878,4.33420181070817,0.000659987962068406,0.0905776582424915,0.0857864570659514,"CDK5/MAP3K13/OLFM1/RAB21/PLXNA3/SEMA4D/PUM2/EFNA5/TTL",9
"GO:0001764","GO:0001764","neuron migration","13/459","189/18986",0.0687830687830688,2.84513146822515,4.01257386196957,0.0007140450583992,0.0947299777476273,0.0897191352325452,"ACAP3/CNTN2/MEF2C/CDK5/VRK1/CXCR4/KIAA0319L/RNF7/PLXNA3/NDN/YWHAE/CEP85L/NEUROD4",13
"GO:1990138","GO:1990138","neuron projection extension","12/459","169/18986",0.0710059171597633,2.93707700042542,3.98129297180437,0.000857644104082737,0.103492888012162,0.098018522076581,"SPAG6/CDK5/RIMS2/CXCR4/MAP3K13/DDR1/OLFM1/RAB21/PLXNA3/LHX2/NDN/TTL",12
"GO:0007269","GO:0007269","neurotransmitter secretion","11/459","146/18986",0.0753424657534247,3.11645327841943,4.04067347853155,0.00085810686040235,0.103492888012162,0.098018522076581,"MEF2C/CDK5/RIMS2/SNCG/ABCC8/SV2A/PPFIA3/BRSK1/ERC2/BRAF/SNCA",11
"GO:0099643","GO:0099643","signal release from synapse","11/459","146/18986",0.0753424657534247,3.11645327841943,4.04067347853155,0.00085810686040235,0.103492888012162,0.098018522076581,"MEF2C/CDK5/RIMS2/SNCG/ABCC8/SV2A/PPFIA3/BRSK1/ERC2/BRAF/SNCA",11
"GO:0051962","GO:0051962","positive regulation of nervous system development","17/459","297/18986",0.0572390572390572,2.3676268861454,3.73905553283538,0.000960036659595299,0.106170792301097,0.1005547757816,"XRCC5/KRAS/PLXNA2/DBN1/CXCR4/MAP3K13/RAB21/PLXNA3/EPHB2/SEMA4D/QKI/NUMBL/HDAC2/NAP1L1/BRAF/ID2/EFNA5",17
"GO:0034248","GO:0034248","regulation of amide metabolic process","8/459","84/18986",0.0952380952380952,3.9394128021579,4.24967225706344,0.000960338824834044,0.106170792301097,0.1005547757816,"PRNP/RPTOR/ORMDL3/BCKDK/SIRT3/PICALM/SNCA/SPHK2",8
"GO:2000736","GO:2000736","regulation of stem cell differentiation","8/459","84/18986",0.0952380952380952,3.9394128021579,4.24967225706344,0.000960338824834044,0.106170792301097,0.1005547757816,"CDK12/SLC4A11/TMSB4X/MTA2/FZD1/ITCH/SMYD5/HDAC2",8
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","23/459","467/18986",0.0492505353319058,2.03719098869622,3.57204977586608,0.00107041500243704,0.113313602076172,0.107319759067647,"HERC2/WDR26/ZFAND2A/UCHL5/GABARAP/ARRB1/FBXO9/KCTD17/RNF7/FBXO48/CSNK2B/FBXL4/ITCH/BAG6/ANAPC5/PSMA7/KLHL35/FBXO2/TRIM28/TRIB1/UBXN1/AGAP3/FBXL17",23
"GO:0048259","GO:0048259","regulation of receptor-mediated endocytosis","10/459","128/18986",0.078125,3.23154956427015,3.98724387098289,0.00110642455512864,0.113313602076172,0.107319759067647,"BMP2K/NRG1/ARRB1/DGKD/RAB21/SUSD4/ITGAV/DLG4/SYNE1/PICALM",10
"GO:0050767","GO:0050767","regulation of neurogenesis","20/459","383/18986",0.0522193211488251,2.1599913536636,3.609705230904,0.00111035941732933,0.113313602076172,0.107319759067647,"XRCC5/KRAS/PLXNA2/DBN1/CDK5/CXCR4/MAP3K13/ABCC8/RAB21/PLXNA3/EPHB2/SEMA4D/QKI/LHX2/NUMBL/HDAC2/NAP1L1/BRAF/ID2/EFNA5",20
"GO:0048863","GO:0048863","stem cell differentiation","15/459","251/18986",0.0597609561752988,2.47194229617478,3.69496126259951,0.00122547789767529,0.118800392560557,0.112516319957512,"XRCC5/CDK12/MEF2C/NRG1/SLC4A11/TMSB4X/MTA2/FZD1/ITCH/SEMA4D/SMYD5/HDAC2/CDC42/PHF19/FBXL17",15
"GO:0098815","GO:0098815","modulation of excitatory postsynaptic potential","6/459","50/18986",0.12,4.96366013071895,4.41719305544037,0.00124765619711318,0.118800392560557,0.112516319957512,"RIMS2/TMEM25/CELF4/DLG4/SYNE1/ZMYND8",6
"GO:0032507","GO:0032507","maintenance of protein location in cell","7/459","68/18986",0.102941176470588,4.25804177880302,4.23625981073901,0.00125367248430738,0.118800392560557,0.112516319957512,"GSN/DBN1/CDK5/TMSB4X/CIZ1/HSPA5/SYNE1",7
"GO:0006887","GO:0006887","exocytosis","19/459","360/18986",0.0527777777777778,2.18309126119584,3.56712879522566,0.00129522142108606,0.119024521116722,0.112728592996292,"TSPAN18/RALB/CDK5/RIMS2/RAB21/SYNGR1/SCRN1/SV2A/PPFIA3/BRSK1/EXOC2/ERC2/BRAF/EXOC3L1/PTGDS/NSF/SNCA/SPHK2/TMEM167A",19
"GO:0060079","GO:0060079","excitatory postsynaptic potential","9/459","109/18986",0.0825688073394495,3.41536247526534,3.98050495330212,0.00131584897716979,0.119024521116722,0.112728592996292,"MEF2C/CDK5/RIMS2/TMEM25/CELF4/DLG4/SYNE1/ZMYND8/SNCA",9
"GO:0008542","GO:0008542","visual learning","6/459","51/18986",0.117647058823529,4.86633346148917,4.3517188990677,0.00138562978475137,0.119901304566506,0.113558998056773,"DDHD2/RIC8A/KRAS/CDK5/ABCC8/BRAF",6
"GO:0007413","GO:0007413","axonal fasciculation","4/459","21/18986",0.19047619047619,7.8788256043158,4.96428396318722,0.00145541096940016,0.119901304566506,0.113558998056773,"CNTN2/EPHB2/NDN/NCAM2",4
"GO:0106030","GO:0106030","neuron projection fasciculation","4/459","21/18986",0.19047619047619,7.8788256043158,4.96428396318722,0.00145541096940016,0.119901304566506,0.113558998056773,"CNTN2/EPHB2/NDN/NCAM2",4
"GO:0007611","GO:0007611","learning or memory","16/459","282/18986",0.0567375886524823,2.34688422256215,3.58671331982044,0.00146765346961171,0.119901304566506,0.113558998056773,"CNTN2/DDHD2/RIC8A/KRAS/MEF2C/CDK5/ELAVL4/EN1/ABCC8/PRNP/EPHB2/BRSK1/DLG4/BRAF/CRTC1/PICALM",16
"GO:0008306","GO:0008306","associative learning","8/459","90/18986",0.0888888888888889,3.67678528201404,4.00644276628662,0.00150629779606163,0.119901304566506,0.113558998056773,"DDHD2/RIC8A/KRAS/CDK5/ELAVL4/ABCC8/BRSK1/BRAF",8
"GO:0036465","GO:0036465","synaptic vesicle recycling","8/459","90/18986",0.0888888888888889,3.67678528201404,4.00644276628662,0.00150629779606163,0.119901304566506,0.113558998056773,"SNX9/CDK5/SNCG/AP3B2/ARPC3/GRIPAP1/PICALM/SNCA",8
"GO:0031669","GO:0031669","cellular response to nutrient levels","15/459","257/18986",0.0583657587548638,2.41423158108899,3.59284838540595,0.00154818633609203,0.120082376613407,0.113730492105953,"RRAGA/RALB/UCP2/GABARAP/ABCC8/RRAGC/RPTOR/SLC38A3/HSPA5/NCOA1/TBC1D7/GDAP1/WDR59/JMY/YWHAZ",15
"GO:0009749","GO:0009749","response to glucose","13/459","206/18986",0.0631067961165049,2.61033906550754,3.65773499719576,0.00156891547334099,0.120082376613407,0.113730492105953,"UCP2/TCF7L2/SLC39A14/ADCY5/ABCC8/RPTOR/NDUFAF2/DYNLL1/PCK2/EIF2B2/NEUROD1/ACVR2B/EFNA5",13
"GO:0001934","GO:0001934","positive regulation of protein phosphorylation","22/459","455/18986",0.0483516483516484,2.00000957648016,3.39836108579204,0.00171911130883473,0.127861811351787,0.12109842540353,"XRCC5/KRAS/RALB/SNX9/FGF7/NRG1/DAXX/ARRB1/MAP3K13/MAGED1/PRNP/RPTOR/SEMA4D/TAOK2/MMD/ETAA1/BRAF/MAP2K3/EFNA5/SNCA/MYDGF/LIMK2",22
"GO:0140029","GO:0140029","exocytic process","8/459","92/18986",0.0869565217391304,3.59685516718765,3.92996587759098,0.00173480849572776,0.127861811351787,0.12109842540353,"RALB/RIMS2/SV2A/PPFIA3/BRSK1/EXOC2/ERC2/SNCA",8
"GO:0006836","GO:0006836","neurotransmitter transport","13/459","209/18986",0.062200956937799,2.572870083706,3.59883540864076,0.00178452657759193,0.129134832342107,0.122304108600128,"MEF2C/CDK5/RIMS2/SNCG/ABCC8/ICA1/SV2A/PPFIA3/BRSK1/ERC2/SLC17A6/BRAF/SNCA",13
"GO:0009746","GO:0009746","response to hexose","13/459","211/18986",0.0616113744075829,2.54848268954765,3.56013693149282,0.00194144371878707,0.135200490546562,0.128048917388849,"UCP2/TCF7L2/SLC39A14/ADCY5/ABCC8/RPTOR/NDUFAF2/DYNLL1/PCK2/EIF2B2/NEUROD1/ACVR2B/EFNA5",13
"GO:0010720","GO:0010720","positive regulation of cell development","22/459","460/18986",0.0478260869565217,1.97827034195321,3.34315156370513,0.00196887878360019,0.135200490546562,0.128048917388849,"XRCC5/KRAS/PLXNA2/DBN1/ACTL6B/CXCR4/MAP3K13/RAB21/ROR2/RPTOR/PLXNA3/EPHB2/SEMA4D/QKI/NUMBL/HDAC2/NAP1L1/MALT1/BRAF/TRIB1/ID2/EFNA5",22
"GO:0030902","GO:0030902","hindbrain development","11/459","162/18986",0.0679012345679012,2.80865542376073,3.63886947610793,0.0019881130076344,0.135200490546562,0.128048917388849,"PLXNA2/CDK5/EN1/TTC21B/EPHB2/HSPA5/NCOA1/GPX4/UQCRQ/NEUROD1/WLS",11
"GO:0090394","GO:0090394","negative regulation of excitatory postsynaptic potential","3/459","11/18986",0.272727272727273,11.281045751634,5.36848612313946,0.00200422837744903,0.135200490546562,0.128048917388849,"TMEM25/CELF4/SYNE1",3
"GO:0071322","GO:0071322","cellular response to carbohydrate stimulus","11/459","163/18986",0.0674846625766871,2.79142440889103,3.61540505734113,0.00208689257717693,0.13839719703574,0.131076530702191,"UCP2/SLC39A14/ADCY5/ABCC8/RPTOR/NDUFAF2/DYNLL1/PCK2/NEUROD1/MAP2K3/EFNA5",11
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","9/459","117/18986",0.0769230769230769,3.18183341712753,3.72605422222393,0.00215339118571142,0.13839719703574,0.131076530702191,"GABARAP/NRG1/OLFM1/FLOT2/SUSD4/GRIPAP1/DLG4/SYNE1/AGAP3",9
"GO:0023061","GO:0023061","signal release","23/459","493/18986",0.0466531440162272,1.92975292438364,3.29227739861715,0.00215593623523012,0.13839719703574,0.131076530702191,"MEF2C/CDK5/RIMS2/UCP2/TCF7L2/SNCG/ADCY5/ABCC8/SV2A/NDUFAF2/DYNLL1/PPFIA3/BRSK1/ERC2/PCK2/BRAF/NEUROD1/EXOC3L1/SIRT3/WLS/ACVR2B/EFNA5/SNCA",23
"GO:0009267","GO:0009267","cellular response to starvation","12/459","190/18986",0.0631578947368421,2.6124527003784,3.51592950628874,0.00232788809146088,0.147063406412925,0.139284331754744,"RRAGA/RALB/UCP2/GABARAP/RRAGC/RPTOR/SLC38A3/HSPA5/TBC1D7/WDR59/JMY/YWHAZ",12
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","9/459","119/18986",0.0756302521008403,3.12835722524304,3.66585827524123,0.00241794624442948,0.149111234663204,0.141223837960575,"MEF2C/CDK5/RIMS2/TMEM25/CELF4/DLG4/SYNE1/ZMYND8/SNCA",9
"GO:0009743","GO:0009743","response to carbohydrate","14/459","243/18986",0.0576131687242798,2.38310157167577,3.41544071897865,0.00246884921567394,0.149111234663204,0.141223837960575,"UCP2/TCF7L2/SLC39A14/ADCY5/ABCC8/RPTOR/NDUFAF2/DYNLL1/PCK2/EIF2B2/NEUROD1/MAP2K3/ACVR2B/EFNA5",14
"GO:0061178","GO:0061178","regulation of insulin secretion involved in cellular response to glucose stimulus","6/459","57/18986",0.105263157894737,4.35408783396399,3.99169285191154,0.00247269886627424,0.149111234663204,0.141223837960575,"UCP2/ADCY5/ABCC8/NDUFAF2/DYNLL1/EFNA5",6
"GO:0034284","GO:0034284","response to monosaccharide","13/459","218/18986",0.0596330275229358,2.46665067658052,3.42811221112891,0.00258291461931825,0.153432838580397,0.145316846060937,"UCP2/TCF7L2/SLC39A14/ADCY5/ABCC8/RPTOR/NDUFAF2/DYNLL1/PCK2/EIF2B2/NEUROD1/ACVR2B/EFNA5",13
"GO:0060074","GO:0060074","synapse maturation","5/459","40/18986",0.125,5.17047930283224,4.15591151397982,0.00264723148644673,0.153939662396564,0.145796860894497,"FGF7/DLGAP4/SEZ6L/YWHAZ/LNX1",5
"GO:0009314","GO:0009314","response to radiation","21/459","442/18986",0.0475113122171946,1.96525005175524,3.231903253012,0.00266880319230224,0.153939662396564,0.145796860894497,"XRCC5/CLK2/DDHD2/RIC8A/KRAS/CDK5/PTPRK/MFAP4/CCDC66/ABCC8/TIMP1/RHBDD1/BRSK1/CEP250/RHNO1/BRAF/CRTC1/SYNE1/ID2/PCNA/FBXL17",21
"GO:0060996","GO:0060996","dendritic spine development","8/459","99/18986",0.0808080808080808,3.34253207455822,3.67816109113593,0.00275761002206647,0.154417372699606,0.146249302205049,"MEF2C/DBN1/CDK5/EPHB2/DLG4/HDAC2/CDC42/ZMYND8",8
"GO:0048488","GO:0048488","synaptic vesicle endocytosis","7/459","78/18986",0.0897435897435897,3.71213898664879,3.77785720913247,0.00278074419281455,0.154417372699606,0.146249302205049,"SNX9/CDK5/SNCG/AP3B2/ARPC3/PICALM/SNCA",7
"GO:0048167","GO:0048167","regulation of synaptic plasticity","13/459","220/18986",0.0590909090909091,2.4442265795207,3.3913288984684,0.00279510674405009,0.154417372699606,0.146249302205049,"CNTN2/KRAS/MEF2C/DBN1/CDK5/SYNGR1/PRNP/EPHB2/PPFIA3/BRSK1/DLG4/BRAF/SNCA",13
"GO:0071280","GO:0071280","cellular response to copper ion","4/459","25/18986",0.16,6.61821350762527,4.42432190173109,0.00285023424114677,0.154417372699606,0.146249302205049,"DAXX/MT1X/PRNP/SNCA",4
"GO:0001678","GO:0001678","intracellular glucose homeostasis","11/459","170/18986",0.0647058823529412,2.67648340381904,3.45596360123618,0.00289557769544564,0.154417372699606,0.146249302205049,"UCP2/SLC39A14/ADCY5/ABCC8/NGFR/RPTOR/NDUFAF2/DYNLL1/PCK2/NEUROD1/EFNA5",11
"GO:0050770","GO:0050770","regulation of axonogenesis","10/459","146/18986",0.0684931506849315,2.83313934401767,3.4997784290124,0.00294449588044559,0.154417372699606,0.146249302205049,"CNTN2/PLXNA2/CDK5/MAP3K13/PLXNA3/EPHB2/SEMA4D/BRSK1/BRAF/EFNA5",10
"GO:0007632","GO:0007632","visual behavior","6/459","59/18986",0.101694915254237,4.2064916362025,3.8826149186374,0.00294867344853519,0.154417372699606,0.146249302205049,"DDHD2/RIC8A/KRAS/CDK5/ABCC8/BRAF",6
"GO:0032535","GO:0032535","regulation of cellular component size","18/459","361/18986",0.0498614958448753,2.06246265819347,3.20795470847861,0.00316873282078987,0.161575087449935,0.153028402051895,"CNTN2/CHMP3/GSN/SNX9/CDK5/TMSB4X/MAP3K13/OLFM1/RAB21/RPTOR/VAV2/ARPC3/PLXNA3/SEMA4D/PUM2/PICALM/EFNA5/TTL",18
"GO:0097479","GO:0097479","synaptic vesicle localization","6/459","60/18986",0.1,4.1363834422658,3.82987370253537,0.00321083632102837,0.161575087449935,0.153028402051895,"CDK5/AP3B2/BRSK1/KIF1B/PICALM/SNCA",6
"GO:0042327","GO:0042327","positive regulation of phosphorylation","22/459","479/18986",0.045929018789144,1.8998003283893,3.13946021859815,0.003218587424309,0.161575087449935,0.153028402051895,"XRCC5/KRAS/RALB/SNX9/FGF7/NRG1/DAXX/ARRB1/MAP3K13/MAGED1/PRNP/RPTOR/SEMA4D/TAOK2/MMD/ETAA1/BRAF/MAP2K3/EFNA5/SNCA/MYDGF/LIMK2",22
"GO:0071333","GO:0071333","cellular response to glucose stimulus","10/459","148/18986",0.0675675675675676,2.79485367720662,3.45025825243481,0.00324774045125497,0.161575087449935,0.153028402051895,"UCP2/SLC39A14/ADCY5/ABCC8/RPTOR/NDUFAF2/DYNLL1/PCK2/NEUROD1/EFNA5",10
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","8/459","102/18986",0.0784313725490196,3.24422230765945,3.57707509617744,0.0033185293126538,0.162655917254626,0.154052060219206,"CDK5/RIMS2/SV2A/PPFIA3/BRSK1/ERC2/BRAF/SNCA",8
"GO:2000310","GO:2000310","regulation of NMDA receptor activity","3/459","13/18986",0.230769230769231,9.5455002513826,4.85121203285591,0.00335120231529632,0.162655917254626,0.154052060219206,"DAPK1/IFNGR2/EPHB2",3
"GO:0099175","GO:0099175","regulation of postsynapse organization","10/459","150/18986",0.0666666666666667,2.75758896151053,3.4015565683914,0.00357533083969984,0.171443575204884,0.162374885693914,"DBN1/CDK5/UBE2M/ROR2/PRNP/LRFN1/EPHB2/CDC42/ZMYND8/PUM2",10
"GO:0140238","GO:0140238","presynaptic endocytosis","7/459","82/18986",0.0853658536585366,3.53105903608056,3.61527584647237,0.0036860687951714,0.173485148439814,0.164308467750059,"SNX9/CDK5/SNCG/AP3B2/ARPC3/PICALM/SNCA",7
"GO:0006275","GO:0006275","regulation of DNA replication","9/459","127/18986",0.0708661417322835,2.93129535278678,3.43716450640569,0.00374452861765511,0.173485148439814,0.164308467750059,"UCHL5/ORC5/NFRKB/CIZ1/DYNLL1/RFC2/CDC42/PCNA/MCM5",9
"GO:0071331","GO:0071331","cellular response to hexose stimulus","10/459","151/18986",0.0662251655629139,2.73932678295748,3.37750451772332,0.00374867406176482,0.173485148439814,0.164308467750059,"UCP2/SLC39A14/ADCY5/ABCC8/RPTOR/NDUFAF2/DYNLL1/PCK2/NEUROD1/EFNA5",10
"GO:0045649","GO:0045649","regulation of macrophage differentiation","4/459","27/18986",0.148148148148148,6.1279754700234,4.19690559755483,0.00380666166936363,0.174143832690428,0.16493231019953,"ROR2/QKI/TRIB1/ID2",4
